ID,DIET_FORMULA,INTAKE_GR,DATE,COMMENTS,delta_measurement,corrected_intake_gr,DIET,KCAL_G,corrected_intake_kcal,SEX,COHORT,STRAIN,AIM,GROUP,DRUG,SABLE_DAY,SABLE
3706,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,12.870000000000005,2024-10-28,NA,3,4.290000000000002,CHOW,3.1,13.299000000000008,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3707,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,16.649999999999977,2024-10-28,NA,3,5.549999999999993,CHOW,3.1,17.204999999999977,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,12.259999999999993,2024-10-28,NA,3,4.086666666666663,CHOW,3.1,12.668666666666656,F,3,NZO/HlLtJ,EEGAP,Weight cycled,RTIOXA_47,NA,NA
3710,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,15.389999999999986,2024-10-28,NA,3,5.1299999999999955,CHOW,3.1,15.902999999999986,F,3,NZO/HlLtJ,EEGAP,Weight cycled,RTIOXA_47,NA,NA
3711,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,17.029999999999973,2024-10-28,NA,3,5.676666666666658,CHOW,3.1,17.59766666666664,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3713,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,13.349999999999994,2024-10-28,NA,3,4.449999999999998,CHOW,3.1,13.794999999999996,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3714,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,13.45999999999998,2024-10-28,NA,3,4.48666666666666,CHOW,3.1,13.908666666666647,F,3,NZO/HlLtJ,EEGAP,Weight cycled,Vehicle,NA,NA
3706,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,17.420000000000016,2024-10-30,NA,2,8.710000000000008,CHOW,3.1,27.001000000000023,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3707,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,24.460000000000008,2024-10-30,NA,2,12.230000000000004,CHOW,3.1,37.91300000000001,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,11.04000000000002,2024-10-30,NA,2,5.52000000000001,CHOW,3.1,17.112000000000034,F,3,NZO/HlLtJ,EEGAP,Weight cycled,RTIOXA_47,NA,NA
3710,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,11.610000000000014,2024-10-30,NA,2,5.805000000000007,CHOW,3.1,17.99550000000002,F,3,NZO/HlLtJ,EEGAP,Weight cycled,RTIOXA_47,NA,NA
3711,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,7.639999999999986,2024-10-30,NA,2,3.819999999999993,CHOW,3.1,11.84199999999998,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3713,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,9.870000000000005,2024-10-30,NA,2,4.935000000000002,CHOW,3.1,15.298500000000008,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3714,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,8.170000000000016,2024-10-30,NA,2,4.085000000000008,CHOW,3.1,12.663500000000026,F,3,NZO/HlLtJ,EEGAP,Weight cycled,Vehicle,NA,NA
3706,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,19.269999999999985,2024-11-01,NA,2,9.634999999999993,CHOW,3.1,29.868499999999973,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
3707,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,18.919999999999987,2024-11-01,NA,2,9.459999999999994,CHOW,3.1,29.325999999999983,F,3,NZO/HlLtJ,EEGAP,Control,Vehicle,NA,NA
