ID,SABLE,STRAIN,SEX,DIET_FORMULA,Day_totalFI,GROUP,DRUG,COHORT
3706,baseline,NZO/HlLtJ,F,D12450Ki,5.289615491,ad lib,vehicle,3
3706,BW regain,NZO/HlLtJ,F,D12450Ki,5.303567282,ad lib,vehicle,3
3706,peak obesity,NZO/HlLtJ,F,D12450Ki,5.534675974,ad lib,vehicle,3
3706,BW loss,NZO/HlLtJ,F,D12450Ki,5.602416292,ad lib,vehicle,3
3706,BW maintenance,NZO/HlLtJ,F,D12450Ki,7.765886854,ad lib,vehicle,3
3707,baseline,NZO/HlLtJ,F,D12450Ki,4.526335191,ad lib,vehicle,3
3707,peak obesity,NZO/HlLtJ,F,D12450Ki,5.508271119,ad lib,vehicle,3
3707,BW loss,NZO/HlLtJ,F,D12450Ki,6.795094292,ad lib,vehicle,3
3707,BW regain,NZO/HlLtJ,F,D12450Ki,8.907078164,ad lib,vehicle,3
3707,BW maintenance,NZO/HlLtJ,F,D12450Ki,9.132205435,ad lib,vehicle,3
3708,peak obesity,NZO/HlLtJ,F,D12450Ki,3.04924168,restricted,RTIOXA_47,3
3708,BW loss,NZO/HlLtJ,F,D12450Ki,3.345,restricted,RTIOXA_47,3
3708,BW maintenance,NZO/HlLtJ,F,D12450Ki,3.845,restricted,RTIOXA_47,3
3708,baseline,NZO/HlLtJ,F,D12450Ki,5.894133814,restricted,RTIOXA_47,3
3708,BW regain,NZO/HlLtJ,F,D12450Ki,7.984101091,restricted,RTIOXA_47,3
3709,BW loss,NZO/HlLtJ,F,D12450Ki,2.952208562,ad lib,vehicle,3
3709,baseline,NZO/HlLtJ,F,D12450Ki,4.829325443,ad lib,vehicle,3
3709,BW regain,NZO/HlLtJ,F,D12450Ki,5.394188602,ad lib,vehicle,3
3709,peak obesity,NZO/HlLtJ,F,D12450Ki,7.264541286,ad lib,vehicle,3
3709,BW maintenance,NZO/HlLtJ,F,D12450Ki,7.688801718,ad lib,vehicle,3
3710,BW loss,NZO/HlLtJ,F,D12450Ki,2.815,restricted,RTIOXA_47,3
3710,BW maintenance,NZO/HlLtJ,F,D12450Ki,3.29,restricted,RTIOXA_47,3
3710,peak obesity,NZO/HlLtJ,F,D12450Ki,4.79946796,restricted,RTIOXA_47,3
3710,BW regain,NZO/HlLtJ,F,D12450Ki,5.13156612,restricted,RTIOXA_47,3
3710,baseline,NZO/HlLtJ,F,D12450Ki,6.224406912,restricted,RTIOXA_47,3
3711,BW loss,NZO/HlLtJ,F,D12450Ki,3.253880987,ad lib,vehicle,3
3711,peak obesity,NZO/HlLtJ,F,D12450Ki,3.508130221,ad lib,vehicle,3
3711,baseline,NZO/HlLtJ,F,D12450Ki,4.878753887,ad lib,vehicle,3
3711,BW regain,NZO/HlLtJ,F,D12450Ki,5.379500304,ad lib,vehicle,3
3711,BW maintenance,NZO/HlLtJ,F,D12450Ki,8.45591473,ad lib,vehicle,3
3713,BW regain,NZO/HlLtJ,F,D12450Ki,3.613573477,ad lib,vehicle,3
3713,peak obesity,NZO/HlLtJ,F,D12450Ki,5.938239556,ad lib,vehicle,3
3713,BW loss,NZO/HlLtJ,F,D12450Ki,6.596898641,ad lib,vehicle,3
3713,BW maintenance,NZO/HlLtJ,F,D12450Ki,10.35528648,ad lib,vehicle,3
3713,baseline,NZO/HlLtJ,F,D12450Ki,23.28886776,ad lib,vehicle,3
3714,BW loss,NZO/HlLtJ,F,D12450Ki,2.73,restricted,vehicle,3
3714,BW maintenance,NZO/HlLtJ,F,D12450Ki,3.935,restricted,vehicle,3
3714,baseline,NZO/HlLtJ,F,D12450Ki,4.613624731,restricted,vehicle,3
3714,peak obesity,NZO/HlLtJ,F,D12450Ki,5.569407546,restricted,vehicle,3
3714,BW regain,NZO/HlLtJ,F,D12450Ki,5.838252995,restricted,vehicle,3
3716,BW regain,NZO/HlLtJ,F,D12450Ki,4.530843058,ad lib,RTIOXA_47,4
3716,baseline,NZO/HlLtJ,F,D12450Ki,4.718971956,ad lib,RTIOXA_47,4
3716,BW loss,NZO/HlLtJ,F,D12450Ki,4.906306288,ad lib,RTIOXA_47,4
3716,peak obesity,NZO/HlLtJ,F,D12450Ki,4.946611349,ad lib,RTIOXA_47,4
3716,BW maintenance,NZO/HlLtJ,F,D12450Ki,8.575904629,ad lib,RTIOXA_47,4
3717,BW loss,NZO/HlLtJ,F,D12450Ki,2.701181194,ad lib,RTIOXA_47,4
3717,peak obesity,NZO/HlLtJ,F,D12450Ki,3.026076583,ad lib,RTIOXA_47,4
3717,BW regain,NZO/HlLtJ,F,D12450Ki,4.066479109,ad lib,RTIOXA_47,4
3717,baseline,NZO/HlLtJ,F,D12450Ki,6.56329355,ad lib,RTIOXA_47,4
3717,BW maintenance,NZO/HlLtJ,F,D12450Ki,13.89789324,ad lib,RTIOXA_47,4
3718,BW regain,NZO/HlLtJ,F,D12450Ki,4.313913941,ad lib,RTIOXA_47,4
3718,peak obesity,NZO/HlLtJ,F,D12450Ki,4.918621002,ad lib,RTIOXA_47,4
3718,baseline,NZO/HlLtJ,F,D12450Ki,4.997877663,ad lib,RTIOXA_47,4
3718,BW loss,NZO/HlLtJ,F,D12450Ki,5.899071973,ad lib,RTIOXA_47,4
