ID,SABLE,tee,GROUP,DRUG,Lean,Weight,Fat,window_start_time,window_end_time,RMR_kcal_day,TEE_minus_RMR
3706,BW loss,7.842943054075001,Ad lib,Vehicle,25.26,41.53,16.14,2025-04-17T16:20:00Z,2025-04-17T16:49:00Z,6.55757152,1.2853715340750016
3706,BW maintenance,11.6725841575,Ad lib,Vehicle,25.2,41,16.12,2025-06-03T07:11:00Z,2025-06-03T07:40:00Z,8.65673112,3.0158530374999994
3706,BW regain,15.188321717500004,Ad lib,Vehicle,27.67,41.58,14.08,2025-07-06T10:38:00Z,2025-07-06T11:07:00Z,10.41911264,4.769209077500005
3706,Baseline,9.610586959166657,Ad lib,Vehicle,23.56,30,6.97,2024-11-13T10:57:00Z,2024-11-13T11:26:00Z,7.34715224,2.263434719166657
3706,Peak obesity,11.969754490000009,Ad lib,Vehicle,24.6,39.76,15.41,2025-02-06T06:15:00Z,2025-02-06T06:44:00Z,8.15546672,3.814287770000009
3707,BW loss,8.798560649166664,Ad lib,Vehicle,29.16,56.695,27.61,2025-04-14T18:56:00Z,2025-04-14T19:25:00Z,7.7450148,1.0535458491666638
3707,BW maintenance,13.889200460000009,Ad lib,Vehicle,28.48,57.03,28.27,2025-06-01T13:10:00Z,2025-06-01T13:39:00Z,11.34793632,2.541264140000008
3707,BW regain,20.86626259500002,Ad lib,Vehicle,32.74,57.17,25.24,2025-07-07T07:49:00Z,2025-07-07T08:18:00Z,14.36231896,6.50394363500002
3707,Baseline,10.550219374166666,Ad lib,Vehicle,24.12,35.5,11.54,2024-11-14T09:08:00Z,2024-11-14T09:37:00Z,8.73832664,1.8118927341666655
3707,Peak obesity,11.891110379166665,Ad lib,Vehicle,27.81,50.12,23.14,2025-02-07T06:17:00Z,2025-02-07T06:46:00Z,7.02545424,4.865656139166665
3708,BW loss,8.741205561666657,Restricted,RTIOXA_47,25.9,41.46,15.09,2025-04-21T10:41:00Z,2025-04-21T11:10:00Z,5.80341448,2.9377910816666573
3708,BW maintenance,8.201409575833326,Restricted,RTIOXA_47,25.01,37.91,13.01,2025-06-02T11:12:00Z,2025-06-02T11:41:00Z,5.35822632,2.843183255833326
3708,BW regain,13.544666742416672,Restricted,RTIOXA_47,28.71,45.06,16.61,2025-07-07T08:45:00Z,2025-07-07T09:14:00Z,8.37578328,5.168883462416671
